location,theatre,name,date
中国，北京 , 保利剧院,音乐剧《九九艳阳天》 青春版,2019.10.10-10.11
中国，成都 , 四川大剧院,法语原版音乐剧《巴黎圣母院》,2019.12.13-12.15
中国，南京 , 江苏大剧院歌剧厅,百老汇原版音乐剧《芝加哥》Chicago ,2019.12.26-12.28
中国，北京 , 天桥艺术中心-大剧场,大型原创音乐剧《西厢》,2019.11.01-11.02
中国，深圳 , 南山文体中心剧院大剧院,百老汇摇滚音乐剧《吉屋出租RENT》中文版,2019.12.13-12.14
中国，广州 , 广东艺术剧院,音乐剧《我的遗愿清单》中文版,2019.12.17-12.19
中国，广州 , 广州大剧院歌剧厅,英文原版音乐剧《泰坦尼克号》,2019.12.12-12.14
中国，广州 , 广州大剧院歌剧厅,音乐剧《阴阳师》,2019.11.15-11.17
中国，上海 , 橙剧场·可当代艺术中心,外百老汇“怦然心动”恋爱音乐剧《长腿叔叔》中文驻场版,2019.10.17-11.01
中国，北京 , 小柯剧场,小柯音乐剧爱情三部曲之《因为爱情2》,2019.10.01-11.03
中国，北京 , 北京展览馆剧场,法国原版音乐剧《卖火柴的小女孩》,2019.12.01-周日-19:30
中国，广州 , 广东艺术剧院,音乐剧《拉赫玛尼诺夫》中文版,2019.12.21-12.22
中国，成都 , 四川大剧院,音乐剧《白夜行》,2019.10.31-11.02
中国，成都 , 四川大剧院,百老汇原版音乐剧《芝加哥》Chicago,2019.11.22-11.24
中国，北京 , 蜂巢剧场,孟京辉戏剧作品 摇滚音乐剧《空中花园谋杀案》,2020.01.07-01.19
中国，北京 , 二七剧场,音乐剧《芝加哥》,2019.11.28-12.01
中国，上海 , 上海大剧院别克中剧场,华语原创音乐剧《马不停蹄的忧伤》,2019.11.14-11.17
中国，上海 , 人民大舞台,科幻巨作《献给阿尔吉侬的花束》改编音乐剧中文版,2019.12.11-12.22
中国，天津 , 天津大礼堂大剧场,音乐剧《我的遗愿清单》天津站,2019.10.12-10.13
中国，上海 , 兰心大戏院,音乐剧《帅小伙的蔬果店》,2019.11.21-12.01
中国，广州 , 广州中山纪念堂,原装明星版《搭错车》音乐剧,2019.10.18-10.19
中国，合肥 , 合肥大剧院,音乐剧《阴阳师》,2019.11.29-12.01
中国，上海 , 东方艺术中心-歌剧厅,音乐剧《阴阳师》上海站,2019.12.13-12.15
中国，深圳 , 南山文体中心剧院大剧院,音乐剧《芝加哥》,2020.01.02-01.10
中国，北京 , 中国人民大学如论讲堂,百老汇摇滚音乐剧《吉屋出租RENT》中文版,2020.01.09-01.10
中国，北京 , 天桥艺术中心-中剧场,摇滚音乐剧《大力水手》,2019.12.04-12.08
中国，广州 , 广东艺术剧院,法国音乐剧《放牛班的春天》中文版 暖心上演,2019.10.24-10.27
中国，青岛 , 青岛大剧院,法语原版音乐剧《巴黎圣母院》,2019.11.14-11.17
中国，深圳 , 深圳保利剧院,《白夜行》音乐剧,2019.12.14-12.15
中国，郑州 , 河南省人民会堂,法语原版音乐剧《巴黎圣母院》,2020.01.03-01.05
中国，佛山 , 佛山大剧院,音乐剧《我的遗愿清单》,2019.12.14-12.15
中国，北京 , 天桥艺术中心-大剧场,音乐剧《阴阳师》,2019.12.27-12.29
中国，海口 , 海南国际会展中心东方环球大剧院,音乐剧《我的遗愿清单》海口站,2019.11.30-周六-20:00
中国，上海 , 云峰剧院,百老汇经典音乐剧《音乐之声》中文纪念版,2019.10.18-10.27
中国，上海 , 美琪大戏院,音乐剧《芝加哥》,2019.12.05-12.15
中国，北京 , 天桥艺术中心-大剧场,托尼奖史诗音乐剧《泰坦尼克号》,2019.11.12-11.24
中国，常州 , 常州大剧院,音乐剧 《阿尔兹记忆的爱情》,2019.11.12-11.13
中国，上海 , 上汽上海文化广场,伦敦西区原版音乐剧《玛蒂尔达》,2019.12.06-12.19
中国，北京 , 海淀剧院,百老汇经典音乐剧《音乐之声》中文纪念版,2019.11.02-11.24
中国，南京 , 南京保利大剧院大剧场,法语音乐剧里程碑《巴黎圣母院》,2019.11.21-11.24
中国，重庆 , 重庆国泰艺术中心剧院,法国原版音乐剧《卖火柴的小女孩》,2019.12.03-12.05
中国，上海 , 上汽上海文化广场,音乐剧《泰坦尼克号》,2019.11.27-12.01
中国，南京 , 江苏荔枝大剧院,音乐剧《拉赫玛尼诺夫》,2019.11.09-周六
中国，深圳 , 深圳保利剧院,法语音乐剧《巴黎圣母院》,2020.01.10-01.12
中国，成都 , 四川歌舞大剧院,音乐剧《我的遗愿清单》,2019.10.25-10.26
中国，广州 , 广州少年宫蓓蕾剧院,百老汇摇滚音乐剧《吉屋出租RENT》中文版,2019.12.07-周六
中国，济南 , 山东省会大剧院歌剧厅,音乐剧《阴阳师》,2019.12.20-12.22
中国，杭州 , 杭州剧院,音乐剧《拉赫玛尼诺夫》,2020.01.04-周六-19:30
中国，上海 , ET聚场(上海共舞台),音乐剧《摇滚年代》中文版,2019.10.24-10.27
中国，上海 , 上汽上海文化广场,音乐剧《DREAMGIRLS追梦女郎》,2020.01.02-01.10
中国，重庆 , 重庆大剧院,音乐剧《我的遗愿清单》,2019.10.18-10.19
中国，西安 , 别克·陕西大剧院歌剧厅,伦敦西区原版音乐剧《玛蒂尔达》,2020.01.04-01.11
中国，广州 , 广州大剧院歌剧厅,法语音乐剧《巴黎圣母院》,2019.12.05-12.08
中国，南京 , 南京保利大剧院大剧场,伦敦西区原版音乐剧《Matilda the Musical玛蒂尔达》,2020.01.16-01.22
中国，北京 , 世纪剧院,原版音乐剧史诗巨制《艾薇塔》Evita,2019.11.22-11.28
中国，深圳 , 深圳保利剧院,音乐剧《阴阳师》,2019.11.22-11.24
中国，太原 , 太原青年宫演艺中心,音乐剧《火花》,2019.11.01-11.02
中国，北京 , 海淀剧院,法国音乐剧《放牛班的春天》中文版,2019.09.27-09.29
中国，珠海 , 珠海华发中演大剧院 横琴歌剧厅,法语原版音乐剧《巴黎圣母院》,2019.11.29-12.01
中国，武汉 , 武汉琴台大剧院,法语音乐剧《巴黎圣母院》武汉站,2019.12.26-12.29
中国，广州 , 广州白云国际会议中心世纪大会堂,原版经典音乐剧《猫》CATS,2019.10.11-10.20
中国，绍兴 , 绍兴大剧院,百老汇经典音乐剧《音乐之声》中文版,2019.12.14-周六-19:30
中国，北京 , 世纪剧院,法语音乐剧《摇滚红与黑》,2019.10.25-11.03
中国，太原 , 星光剧院,音乐剧《我们还能陪妈妈多久》,2019.10.05-周六-19:30
中国，河源 , 桃花水母大剧院,音乐剧《我的遗愿清单》,2019.12.05-周四-20:00
中国，北京 , 保利剧院,伦敦西区原版音乐剧《玛蒂尔达》,2019.11.21-11.29
中国，温州 , 温州大剧院,音乐剧《拉赫玛尼诺夫》,2019.12.30-周一-19:30
中国，福州 , 福建会堂,陈少琪原创音乐剧《爱在星光里》,2019.12.25-周三-19:30
中国，大连 , 大连人民文化俱乐部,音乐剧《老虎来喝下午茶》,2019.10.30-周三-19:00
中国，福州 , 福建大剧院歌剧厅,家庭音乐剧《故宫里的大怪兽之吻兽使命》,2019.10.18-周五-20:00
中国，武汉 , 武汉琴台大剧院,伦敦西区原版音乐剧《玛蒂尔达》武汉站,2019.11.02-11.07
中国，南京 , 江苏荔枝大剧院,音乐剧《淮海儿女》,2019.10.25-周五-19:30
中国，济南 , 山东剧院,英国伦敦西区音乐剧《老虎来喝下午茶》,2019.11.03-周日
中国，武汉 , 中南剧场大剧场,音乐剧《我的遗愿清单》中文版,2019.11.02-11.03
中国，哈尔滨 , 哈尔滨大剧院歌剧厅,音乐剧《故宫里的大怪兽之吻兽使命》,2019.10.04-周五
中国，哈尔滨 , 哈尔滨大剧院歌剧厅,百老汇原版音乐剧《芝加哥》,2019.11.12-11.17
中国，苏州 , 苏州文化艺术中心-大剧院,音乐剧史诗巨作《贝隆夫人》Evita苏州站,2019.11.01-11.05
中国，石家庄 , 石家庄大剧院大剧场,音乐剧《贝隆夫人》,2019.10.05-10.06
中国，杭州 , 杭州大剧院(歌剧院),音乐剧史诗巨制《贝隆夫人》Evita,2019.11.13-11.17
中国，青岛 , 青岛大剧院,音乐剧《拉赫玛尼诺夫》,2019.10.03-10.04
中国，苏州 , 苏州文化艺术中心大剧院,音乐剧《芝加哥》 CHICAGO THE MUSICAL,2019.12.19-12.22
中国，南京 , 江苏大剧院歌剧厅,音乐剧史诗巨作《贝隆夫人》Evita,2019.10.23-10.27
中国，苏州 , 苏州文化艺术中心大剧院,世界经典音乐剧《妈妈咪呀！》中文版,2019.10.15-10.20
中国，天津 , 天津大剧院歌剧厅,伦敦西区原版音乐剧《玛蒂尔达》 Matilda The Musical,2019.11.12-11.17
中国，西安 , 别克·陕西大剧院歌剧厅,法语原版音乐剧《巴黎圣母院》,2019.12.19-12.22
中国，南京 , 江苏大剧院歌剧厅,音乐剧《九九艳阳天》,2019.10.05-周六-19:30
中国，广州 , 广州白云国际会议中心世纪大会堂,音乐剧史诗巨作《贝隆夫人》Evita,2019.12.13-12.18
中国，珠海 , 珠海大剧院歌剧厅,音乐剧《爱在星光里》,2019.12.21-12.22
中国，武汉 , 中南剧场大剧场,音乐剧《拉赫玛尼诺夫》中文版,2019.10.29-10.30
中国，西安 , 陕西广电大剧院,音乐剧《拉赫玛尼诺夫》,2019.10.18-10.19
中国，成都 , 东郊记忆-声音剧场,先锋音乐剧《新·石头记》,2019.09.28-周六
中国，上海 , 人民大舞台,Black Mary Poppins 中文版音乐剧《水曜日》,2019.11.06-11.17
中国，无锡 , 无锡大剧院,音乐剧《马不停蹄的忧伤》,2019.12.07-12.08
中国，海口 , 海南国际会展中心东方环球大剧院,世界经典原版音乐剧《猫》CATS ,2019.09.27-10.03
中国，广州 , 广州大剧院歌剧厅,法语音乐剧《摇滚红与黑》,2019.11.08-11.09
中国，宁波 , 宁波文化广场大剧院,音乐剧《拉赫玛尼诺夫》中文版,2019.10.25-10.26
中国，西安 , 别克·陕西大剧院戏剧厅,莫斯科轻歌剧院·音乐剧《安娜·卡列尼娜》,2019.10.13-14:30
中国，厦门 , 厦门嘉庚剧院大剧场,陈少琪原创音乐剧《爱在星光里》,2019.12.14-周六-20:00
中国，南昌 , 江西艺术中心大剧院,家庭音乐剧《故宫里的大怪兽之吻兽使命》,2019.10.20-周日-19:45
中国，中山 , 中山市文化艺术中心大剧场,绛州鼓乐音乐剧《老鼠娶亲》,2019.12.21-周六-20:00
中国，上海 , 上海大剧院大剧场,建筑音乐剧场《建筑城市》,2019.11.01-11.02
中国，深圳 , 南山文体中心剧院大剧院,法语音乐剧《摇滚红与黑》,2019.11.14-11.17
中国，苏州 , 苏州文化艺术中心,音乐剧史诗巨作《贝隆夫人》Evita,2019.11.01-11.05
中国，深圳 , 南山文体中心剧院大剧院,音乐剧史诗巨作《贝隆夫人》Evita,2019.12.04-12.08
中国，无锡 , 无锡大剧院,原版童话音乐剧《卖火柴的小女孩》,2019.12.25-周三-19:30
中国，河源 , 桃花水母大剧院,陈少琪原创音乐剧《爱在星光里》,2019.12.18-周三-20:00
中国，上海 , 上汽上海文化广场,2019法语音乐剧《摇滚红与黑》,2019.10.05-10.20
中国，厦门 , 厦门沧江剧院,韩国原创音乐剧《拉赫玛尼诺夫》中文版,2019.11.23-周六-19:30
中国，西安 , 别克·陕西大剧院戏剧厅,音乐剧《国王与我》,2019.11.17-14:30
中国，广州 , 广州大剧院实验剧场,TDSM街舞音乐剧场《我係歌手》,2019.10.05-10.06
中国，上海 , 上汽上海文化广场,法语原版音乐剧《巴黎圣母院》,2020.01.16-01.23
中国，上海 , 虹桥艺术中心,音乐剧《涩女郎》,2020.02.13-02.16
中国，上海 , 上汽上海文化广场,法语音乐剧《摇滚红与黑》,2019.10.03-06
中国，中山 , 中山市文化艺术中心大剧场,绛州鼓乐音乐剧《老鼠娶亲》,2019.09.18-12.21
中国，成都 , 成都市双流体育中心综合比赛馆,大型原创体验式实景音乐剧《丝路恋歌》,2019.10.24-10.26
中国，上海 , 人民大舞台,百老汇音乐剧《摇滚年代》中文版,2019.10.30-11.03
中国，杭州 , 杭州剧院,音乐剧《长腿叔叔》中文版,2019.12.27-12.28
